,Feature,Importance
165,P16870,0.00041407775
166,P08294,0.0004050826
167,P13987,0.0003915964
168,P07195,0.00037597693
169,P01859,0.0003735525
170,P05090,0.00037297388
171,P08123,0.00034184795
172,Q14118,0.0003357385
173,Q7Z3B1,0.00033247765
174,P01042,0.00033121707
175,P02452,0.00032506677
176,P01594,0.00030424047
177,O60888,0.00029379776
178,Q96KN2,0.00028741968
179,P08637,0.00026751196
180,P09871,0.00024628363
181,P11277,0.00021444714
182,P01008,0.00021215195
183,P06727,0.00020963507
184,P05067,0.00020342479
185,P36222,0.0001958633
186,P43121,0.00015784566
187,P17936,0.0001260307
188,P13521,0.00012063568
189,Q9UHG2,0.00011651395
190,P30086,0.00010918537
191,P23142,9.861778e-05
192,P02671,9.1701826e-05
193,P11142,8.6750755e-05
194,P04004,7.416811e-05
195,P01024,6.908615e-05
196,Q92520,6.703484e-05
197,P35542,4.8756938e-05
198,P13473,3.976055e-05
199,O75326,3.767739e-05
200,P61916,3.681578e-05
201,P60174,3.4911332e-05
202,Q9BY67,3.324831e-05
203,Q08380,1.89576e-05
204,P13591,1.858014e-05
205,Q12805,1.7412776e-05
206,P54289,1.5486783e-05
207,P01834,1.5178253e-05
208,Q12907,1.1902982e-05
209,P36980,1.14213735e-05
210,Q99969,7.5644657e-06
211,P04406,7.0437063e-06
212,Q14515,6.6496364e-06
213,P10451,6.6152393e-06
214,P40925,6.199398e-06
215,P32754,5.9080076e-06
216,Q9HDC9,5.765378e-06
217,Q99674,5.444252e-06
218,P02675,5.410018e-06
219,P07339,3.8526423e-06
220,P43652,2.629898e-06
221,P36955,1.8405805e-06
222,Q92823,1.5677907e-06
223,P07602,6.1771857e-07
224,P05060,1.1057124e-07
225,P02751,3.5482632e-08
226,P12109,1.8462766e-08
